Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
0.75 10.44 0.0237
0.75 10.88 0.0226
0.75 11.37 0.0211
0.75 11.85 0.0194
0.75 12.37 0.0174
0.75 12.89 0.0154
0.75 13.46 0.0134
0.75 14.03 0.0116
0.75 14.65 0.0099
0.75 15.27 0.0085
0.75 15.95 0.0073
0.75 16.62 0.0064
0.75 17.36 0.0057
0.75 18.09 0.0052
0.75 18.89 0.0048
0.75 19.69 0.0046
0.75 20.56 0.0045
0.75 21.43 0.0045
0.75 22.38 0.0047
0.75 23.33 0.005
0.75 24.36 0.0053
0.75 25.39 0.0058
0.75 26.51 0.0064
0.75 27.63 0.0071
0.75 28.86 0.0079
0.75 30.08 0.0087
0.75 31.41 0.0096
0.75 32.74 0.0105
0.75 34.18 0.0114
0.75 35.63 0.0122
0.75 37.21 0.0131
0.75 38.78 0.0137
0.75 40.49 0.0144
0.75 42.21 0.0148
0.75 44.07 0.0152
0.75 45.94 0.0153
0.75 47.97 0.0152
0.75 50.0 0.0149
0.75 52.21 0.0143
0.75 54.42 0.0135
0.75 10.44 0.0237
0.75 10.88 0.0226
0.75 11.37 0.0211
0.75 11.85 0.0194
0.75 12.37 0.0174
0.75 12.89 0.0154
0.75 13.46 0.0134
0.75 14.03 0.0116
0.75 14.65 0.0099
0.75 15.27 0.0085
0.75 15.95 0.0073
0.75 16.62 0.0064
0.75 17.36 0.0057
0.75 18.09 0.0052
0.75 18.89 0.0048
0.75 19.69 0.0046
0.75 20.56 0.0045
0.75 21.43 0.0045
0.75 22.38 0.0047
0.75 23.33 0.005
0.75 24.36 0.0053
0.75 25.39 0.0058
0.75 26.51 0.0064
0.75 27.63 0.0071
0.75 28.86 0.0079
0.75 30.08 0.0087
0.75 31.41 0.0096
0.75 32.74 0.0105
0.75 34.18 0.0114
0.75 35.63 0.0122
0.75 37.21 0.0131
0.75 38.78 0.0137
0.75 40.49 0.0144
0.75 42.21 0.0148
0.75 44.07 0.0152
0.75 45.94 0.0153
0.75 47.97 0.0152
0.75 50.0 0.0149
0.75 52.21 0.0143
0.75 54.42 0.0135
